name;customer;supplier;is_company;street;zip;vat;phone;property_account_payable/code;property_account_receivable/code
DISEÑO TEXTIL;1;0;1;Calle Retuerto, 38;48260;ESA48107346;943 170 929;;430000001
PERITO MORENO CREATIVIDAD;1;0;1;Barrio  Okin-Zuri,  s/n;43550;;;;430000002
ALMACENES TEXTILES;1;0;1;C/ Passeig Estacio 43;12580;ESB12382024;964 467 140;;430000003
MODAS MARY;1;0;1;Ctra. Benicarlo calig    KM 2.200;20180;ESA08002883;943 260 101;;430000004
ACEDE,  S.A.    DISEÑOS;1;0;1;Pol. Ind. Aranguren,  6;31014;;948 143 505;;430000005
MATIES ADAL;1;0;1;Avda. Marcelo Celayeta,  136;48550;ESB48959142;946 323 030;;430000006
ADEREZOS Y ARREGLOS SL;1;0;1;Pol.Ind.Santelices;1013;ESA01238484;945 253 542;;430000007
ITN DISEÑOS;1;0;1;C/  Capelamendi nº 12   Bajo;1510;;945 129 266;;430000008
46 DISEÑOS;1;0;1;Parque Tecnológico de Alava.C/  Leonardo da Vinci, 13;48215;ESA48430342;946 218 147;;430000009
47 DISEÑOS;1;0;1;Pol. Ind. Arriandi,  s/n;48150;ESB95217675;944 037 977;;430000010
48 DISEÑOS;1;0;1;Pol. Ind. Sangróniz, 38 - Pab 5;20870;ESF20878278;943 744 066;;430000011
AFINACION Y MODA;1;0;1;Pol. Ind. Olaso. ;;;;;
ANA DISEÑOS;1;0;1;C/ Del Carmen nº 74, pral.2ª;48170;ESB48853014;944 522 375;;430000013
FERNANDA DISEÑOS;1;0;1;Pol. Ind. Torrelarragoiti, Pab. 6-A1;20570;ESB20792214;943 762 963;;430000014
AGRY SA;1;0;1;c/  Aitz-Iturri,  6;20700;;943 721 850 ;;430000015
AGUINAGADISEÑOS;1;0;1;Pol. Ind. Argixao, 23;48903;ESB95053708;944 970 074;;430000016
AGUIRRE DISEÑOS;1;0;1;Calle Retuerto, 38;20600;ESA20022448;943 121 608;;430000017
AGUSTÍN DISEÑOS;1;0;1;Bº Azitain, 7;41500;;639 812 650;;430000018
E,  S.A.;1;0;1;Duquesa de Talavera,  12;20600;ESA20044947;943 120 500;;430000019
AIRE NATURAL MODA;1;0;1;Gisastu Bide,  3;41120;ESB21353842;955 611 266;;430000020
AITEK MODA;1;0;1;Pol. Ind. Guadalquivir   C/ Formacion  Nº 10-1º;20720;ESB20601118;943 857 009;;430000021
AITOR MODA;1;0;1;Industrialdea 35;20577;;943 766 420;;430000022
ALBA MODA;1;0;1;Lizarraga Hiribidea, 12;48150;ESB48970479;944 711 600;;430000023
ALBICEIN,  MODA;1;0;1;Ctra. Sangroniz,  34;20870;ESA20928834;943 748 960;;430000024
ALCAPA MODA;1;0;1;Pol. Ind. Albitxuri,   nº 20;48002;ESB48150783;944 441 146;;430000025
ALCORTAMODA;1;0;1;Carretera Larrasquitu 35, 2  Planta;20870;ESA20585865;943 741 350;;430000026
ALDAMODA;1;0;1;Pol. Ind. San Lorenzo PO Box 1;20249;ESB75139378;943161669;;430000027
ALDMODA;1;0;1;C/ Beko Kalea S/N;48330;ESA48147144;946  313 126;;430000028
ALEMODA;1;0;1;Bº Bolunburu,  s/n;20500;ESF20028544;943 712 405;;430000029
ALEJANDRO MODA;1;0;1;Aptdo. 81, Loramendi 11;20305;ES15949842D;943 613 442;;430000030
ALFA DECO, S.A.;1;0;1;C/  Lizarra,  15   Puiana;20690;ESA48173876;943 789 117;;430000031
ALFMODA;1;0;1;Pol. Ind. Pagatza,    s/n;20600;ESV20851648;943 820 300;;430000032
ALFONMODA;1;0;1;Avda. Otaola,  4;8918;;;;430000033
ALPE   MECANIZADOS  S.L;1;0;1;c/  Alfonso XII,   653   -  1º N;20870;ESB20696084;943 743 628;;430000034
ALTMODA;1;0;1;C/ Olasope 6 Pab .66-2;48140;ESB95198008;946 311 711;;430000035
ALZA, S.L. MECANIZADOS;1;0;1;IGORREKO INDUSTRIALDEA;;;;;430000036
AME;1;0;1;c/ Euskalerria -  Pol. Ind. Solozabal  Pab. 8;1013;;945 129 266;;430000037
lorea;1;0;1;C/  Portal de Gamarra,  40;20870;;;;430000038
sr. Luis Oronoz;1;0;1;Pol. Ind. Olaso.   Olasope Kalea 16;20305;;;;430000039
maria Gomez;1;0;1;Pol. Ind. Arretxe-Ugalde,  5;48930;;;;430000040
Abacus Nova, S.L.;1;0;1;Avda libertad barakaldo;28010;ESB84849579;;;430000041
Abalea Comunicación, S.L.;1;0;1;C/ Cardenal Cisneros nº 49;28043;ESB84400829;;;430000042
AB Azucarera Iberia, S.L.;1;0;1;Avda. Machupichu nº 35, 1º 33;28050;ESB78373511;;;430000043
Abdul Razzaq Bin Abdul Jalil Abdulg;1;0;1;Avda. Manoteras nº 46;28046;ESM2839497D;;;430000044
Abenojar Real Estate, S.L.;1;0;1;Paseo de la Castellana nº 15, 5ª pl;28002;ESB83075580;;;430000045
Abraham Dib;1;0;1;C/ Santa Hortensia 15, 7º Ático 14 ;28009;;;;430000046
Accurer, S.L.;1;0;1;C/ San Alcalá nº 131, 1º Dcha.;28830;ESB84744689;;;430000047
Acedo Inversiones, S.L.;1;0;1;C/ Mar Tirreno nº 4, nave 9;33005;ESB74039991;;;430000048
posicion50;1;0;1;Avda. de Galicia nº 46, 6º B;;;;;430000049
100M diseño;0;1;1;Glorieta Carlos V nº 9;28012;ESB85774438;;410000003;
2.008 Luna distribuidor;0;1;1;Ronda de Sobradiel nº 61;28043;ESB84274877;;410000004;
248 Proyectos y costuras;0;1;1;Ctra.de Fuencarral a Alcobendas 14D;28034;ESB85984375;;410000005;
360 maquinaria textil;0;1;1;C/ Abdón Terradas nº 3, local;28015;ESB86442647;;410000006;
