name,is_company,child_ids,user_id,street,zip,FAX,phone,email,comment,property_payment_term,
A.G.S.,1,Sr.AntonioGarciaSanchez,Antonio Lopez,"c,PasseigEstacio,43",43550,,6162293,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
A.R.SystemasS.L.,1,Sr.JavierdeCastro,Antonio Lopez,Ctra.BenicarlocaligKM2.200,12580,964461494,964467140,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
ADRAL.MatriceriaPaP.SL,1,,Vanesa,Pol.Ind.Santelices,48550,946709935,946323030,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"ADUSA,S.L.",1,"FelixSobron***,Ander*****,JuanCarlos***",Vanesa,"C,Capelamendin?12Bajo",1013,945266390,945253542,adusa@sea.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
AEROTEAM,1,"SoniaSantos,JoseMiguelMarzal,Alejo",Vanesa,"Pol.Ind.Sangroniz,38-Pab5",48150,944037978,944037977,produccion@aeroteam.biz,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"AIBE,S.A.",1,"Sr.YosuUrizarbarrena,JonEzpeleta,Alberdi",Ander,"GisastuBide,3",20600,943121314,943120500,jon@aibe.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
AIRNAVITOOLI+DS.L.,1,Sr.MiguelDominguezMorales,Airnavitool,"Pol.Ind.GuadalquivirC,FormacionN?10-1?",41120,954101813,955611266,AIRNAVITOOL@telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
"AITORZUBILLAGA,S.L.",1,Sr.AitorZubillaga,Ander,"LizarragaHiribidea,12",20577,943766420,943766420,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
ALBAS.A.,1,"Sr.AlbertoAzkunaga***,Sr.Gorka,Sr.angel",Vanesa,"Ctra.Sangroniz,34",48150,944531754,944711600,albertoazkunaga@alba.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
ALFAIDEI,1,"Sr.Mario*****,RichardDiez,GorkaCuevas**",Ander,"Avda.Otaola,4",20600,943204038,943820300,ot.utilalfa@alfalan.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",30 días netos,
