name,is_company,child_ids,user_id,street,zip,FAX,phone,email,comment,,,
A.G.S.,1,Sr.AntonioGarciaSanchez,Antonio Lopez,"c,PasseigEstacio,43",43550,,6162293,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
A.R.SystemasS.L.,1,Sr.JavierdeCastro,Antonio Lopez,Ctra.BenicarlocaligKM2.200,12580,964461494,964467140,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
ADRAL.MatriceriaPaP.SL,1,,Vanesa,Pol.Ind.Santelices,48550,946709935,946323030,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ADUSA,S.L.",1,"FelixSobron***,Ander*****,JuanCarlos***",Vanesa,"C,Capelamendin?12Bajo",1013,945266390,945253542,adusa@sea.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
AEROTEAM,1,"SoniaSantos,JoseMiguelMarzal,Alejo",Vanesa,"Pol.Ind.Sangroniz,38-Pab5",48150,944037978,944037977,produccion@aeroteam.biz,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"AIBE,S.A.",1,"Sr.YosuUrizarbarrena,JonEzpeleta,Alberdi",Ander,"GisastuBide,3",20600,943121314,943120500,jon@aibe.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
AIRNAVITOOLI+DS.L.,1,Sr.MiguelDominguezMorales,Airnavitool,"Pol.Ind.GuadalquivirC,FormacionN?10-1?",41120,954101813,955611266,AIRNAVITOOL@telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"AITORZUBILLAGA,S.L.",1,Sr.AitorZubillaga,Ander,"LizarragaHiribidea,12",20577,943766420,943766420,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
ALBAS.A.,1,"Sr.AlbertoAzkunaga***,Sr.Gorka,Sr.angel",Vanesa,"Ctra.Sangroniz,34",48150,944531754,944711600,albertoazkunaga@alba.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
ALFAIDEI,1,"Sr.Mario*****,RichardDiez,GorkaCuevas**",Ander,"Avda.Otaola,4",20600,943204038,943820300,ot.utilalfa@alfalan.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
ALFONSOROASANCHEZ,1,Sr.Alfonso,Eder,"c,AlfonsoXII,653-1?N",8918,,,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
ALPEMecanizadosS.L,1,SR.JoseVila,Ander,"C,Olasope6Pab.66-2",20870,,943743628,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"AltechMould,S.L.",1,"AdrianConal,LoreaAzkona",Vanesa,"IGORREKOINDUSTRIALDEA
c,Industrialdea,PabellonF-6",48140,946315563,946311711,adrian.conal@altechmould.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"AMES,S.A.",1,,IMS,Ctra.LaureaMiron?388,8980,936854488,936855111,sales@ames.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
ANDIA.S.A.L.ConstruccionesElectricas,1,Sr.JosebaSolaegiOrdorika,Vanesa,"B?.Arane,1",48300,946255522,946250405,ingenieria@ce-andia.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ANTONINOMecanizados,S.L.",1,Sr.IgorGonzalez-Txabarri,Ander,"Pol.Ind.Tejeria,Pab5",20749,943148345,943148105,mantonino@euskalnet.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"APLIND,SuministrosIndustriales.",1,Sr.JoseFerreroHerrero,Eder,"c,PicosdeEuropa,9Bajo",39300,942804855,942083949,aplind@aplind.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ARAMecanicas,S.A",1,Sr.JoseIgnacioRojo,Vanesa,"DerioBidea,55",48100,946744365,946741050,nr@araelectromecanica.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ARALUCE,S.A.",1,"Sr.Intxaurbe***,Sr.MiguelSierra,Alicia",Vanesa,"BarrioSanJuan,13",48140,946305907,946305900,mintxaurbe@araluce.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"AraniaTalleres,S.L.",1,FernandoVegasZelaya,Ander,Pol.Ind.Isasia.ParcelaG-n?5,31800,948567330,948563568,talleresarania@infonegocio.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ARATZTalleres,S.A.",1,"Sr.IkerArroniz,Sr.JavierBalsategui",Vanesa,"Pol.Ind.Gamarra.C,Barratxi,37",1013,945289046,945122200,aratz@sea.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
ARAUCAS.L.,1,,Ander,"C,Idiakez(CasaMuno35)",20720,943,943,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ARRECHETalleres,S.A",1,"Sr.Arkaitzlacalle,Nekane",Ander,"c,PadreLarramendi,32",20400,943672407,943674799,comercial@arreche.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ARRIETAMEKANIKA,S.L",1,Sr.JoseRamonArrietaLarreategui,Vanesa,Pol.Ind.Otaola.Apdo.54,48270,946169093,946169092,arrietamekanika@telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"ARROYOSS.Industriales,S.A.",1,"Sr.Joaquin,Luis,Laura,Victoria",Arroyos,"c,Escornalbou,39",8041,934330121,934559407,arroyos@arroyos.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
AsierDiazBarriobero,1,AsierDiaz,Ander,"Aitzuri,18-3?A",20750,,943206809,ritximore@hotmail.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"AURRENAK,S.Coop.",1,"Sr.JavierBeltran,Manuela,Sr.InigoVelasco",Vanesa,"Vitorialanda,15(Ali-Gobeo)",1010,945246912,945244850,javierb@aurrenak.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
AUXITECS.L.,1,Sr.JonIrizarIntxausti,Vanesa,"Pol.IndJundiz,Pauleta23",1015,945290451,945290006,auxitec@auxitecnica.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"AUXMAT,S.L.",1,"Sr.Unai,Sta.Ainara",Vanesa,"BizkaiaKalea,2Pol.Ind.Elotxelerri",48180,944533853,944533052,auxmat@clientes.esuskaltel.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
AXPEMecanizados,1,"Sr.XabierAxpe,Sta.Nerea,Mikel",Ander,"BergarakoInd.c,Telleria19P-B6",20570,943109775,943765802,info@mecanizadosaxpe.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"Azol-GasMecanizados,S.L.",1,"Sr.LuisAlonso,Sr.Juan,Idoia,Cristina",Vanesa,"C,Arriurdina1Pol.Ind.Jundiz",1015,945291891,945291890,lalonso@azolgas.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
Bazkidek,1,Sr.Txomin,Vanesa,"Ibarra,12-n?37",48300,946251853,946250432,comercial@bazkidek.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"BediaCaldereria,S.A.L.",1,Sr.AlbertoMaguregiZabala,Vanesa,"BarrioMurtaza,3",48390,946314338,946313821,c.bedia@teleline.es,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"BEITroqueles,S.L.",1,"Sr.BenitoMartinezPerez,IbaiMartinez",Vanesa,Pol.Ind.GoitondoGoikoan?7-Pab.11,48260,943171627,943171627,troquelesbei@troquelesbei.e.telefonica.net,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"BerangaMecanizados,S.L.L.",1,"Sr.JuanJoseMunoz,Sta.Pilar",Vanesa,Pol.Ind.SanSebastianNaven?10,39739,942635336,942635288,Eder@mecanizadosberanga.com,pilar@mecanizadosberanga.com,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,
"BERGARAMecanizados,S.L.",1,"Sr.Leo,Sr.Santos",Ander,"c,Amillaga,21",20570,943760082,943760344,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"BIATROKELAK,S.A.L.",1,"Sr.JoseRamon,Sta.Esther",Ander,"Pol.Ind.Pagatza,2-D",20690,943788045,943788044,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
"BICIberia,S.A.",1,Sr.JuanCalero,Esloan,"Pol.Ind.Entreviass,n",43006,,977556154,,"Direcciondeentregadelamercancia:
CarrefourErandioS.A.(Mantenimiento)
LataondoBidean?2
48950-Erandio
Bizkaia",,,
